speaker_id,line_num,sent_num,token_num,pos_tuple,pos,token_str,term_str,term_id
201,13,3,1,"(""'re"", 'VBP')",VBP,'re,re,1276
201,14,0,0,"('Ready', 'JJ')",JJ,Ready,ready,1281
201,14,1,0,"('Um', 'NNP')",NNP,Um,um,1755
201,14,1,2,"('are', 'VBP')",VBP,are,are,99
201,14,1,3,"('we', 'PRP')",PRP,we,we,1827
201,14,1,4,"('doing', 'VBG')",VBG,doing,doing,449
201,14,1,5,"('that', 'DT')",DT,that,that,1648
201,14,1,6,"('today', 'NN')",NN,today,today,1695
201,15,0,0,"('Yeah', 'UH')",UH,Yeah,yeah,1903
201,15,0,2,"('of', 'IN')",IN,of,of,1093
201,15,0,3,"('course', 'NN')",NN,course,course,361
201,15,1,0,"('Um', 'NNP')",NNP,Um,um,1755
201,15,1,2,"('after', 'IN')",IN,after,after,38
201,15,1,3,"('small', 'JJ')",JJ,small,small,1488
201,15,1,4,"('group', 'NN')",NN,group,group,682
201,15,1,5,"('we', 'PRP')",PRP,we,we,1827
201,15,1,6,"('can', 'MD')",MD,can,can,236
201,15,1,7,"('talk', 'VB')",VB,talk,talk,1610
201,15,1,8,"('about', 'IN')",IN,about,about,11
201,15,1,9,"('that', 'DT')",DT,that,that,1648
201,15,2,0,"('Uh', 'NNP')",NNP,Uh,uh,1753
201,15,2,2,"('maybe', 'RB')",RB,maybe,maybe,974
201,15,2,3,"('during', 'IN')",IN,during,during,469
201,15,2,4,"('lunch', 'NN')",NN,lunch,lunch,945
201,16,0,0,"('Okay', 'NNP')",NNP,Okay,okay,1102
201,16,1,0,"('Okay', 'NNP')",NNP,Okay,okay,1102
201,16,2,0,"('That', 'DT')",DT,That,that,1648
201,16,2,1,"(""'s"", 'VBZ')",VBZ,'s,s,1382
201,16,2,2,"('good', 'JJ')",JJ,good,good,670
201,16,3,0,"('Okay', 'NNP')",NNP,Okay,okay,1102
201,16,4,0,"('Cause', 'NNP')",NNP,Cause,cause,253
201,16,4,1,"('I', 'PRP')",PRP,I,i,772
201,16,4,2,"('just', 'RB')",RB,just,just,858
201,16,4,3,"('wanted', 'VBD')",VBD,wanted,wanted,1816
201,16,4,4,"('to', 'TO')",TO,to,to,1694
201,16,4,5,"('make', 'VB')",VB,make,make,958
201,16,4,6,"('sure', 'JJ')",JJ,sure,sure,1592
201,16,4,7,"('that', 'IN')",IN,that,that,1648
201,16,4,9,"('um', 'UH')",UH,um,um,1755
201,16,4,11,"('I', 'PRP')",PRP,I,i,772
201,16,4,12,"(""'m"", 'VBP')",VBP,'m,m,948
201,16,4,13,"('work', 'NN')",NN,work,work,1879
