speaker_id,term_id,n,c,tf,tfidf
201,496,4,1,0.005681818181818182,0.00017222678561840276
201,502,1,1,0.0014204545454545455,0.0020912908408029125
201,528,1,1,0.0014204545454545455,0.0009209659246888234
201,529,1,1,0.0014204545454545455,0.0023414204701433686
201,541,1,1,0.0014204545454545455,0.002769019895802433
201,543,5,1,0.007102272727272727,0.004604829623444117
201,544,5,1,0.007102272727272727,0.0029681185341097842
201,558,1,1,0.0014204545454545455,0.0007133976921913261
201,577,1,1,0.0014204545454545455,0.0007833096562114705
201,617,5,1,0.007102272727272727,0.00021528348202300344
201,624,1,1,0.0014204545454545455,0.002769019895802433
201,635,1,1,0.0014204545454545455,0.0002536051065380236
201,637,1,1,0.0014204545454545455,0.0020912908408029125
201,653,1,1,0.0014204545454545455,0.00023304001652577525
201,663,4,1,0.005681818181818182,0.0003255420679229112
201,665,1,1,0.0014204545454545455,0.0010984357210074313
201,667,1,1,0.0014204545454545455,0.0003434940774815006
201,668,1,1,0.0014204545454545455,1.4020957423713421e-05
201,670,10,1,0.014204545454545454,0.0002115277755872882
201,673,1,1,0.0014204545454545455,0.00022300897321968598
201,680,1,1,0.0014204545454545455,8.93455702733394e-05
201,682,6,1,0.008522727272727272,0.0071202839858358746
201,683,1,1,0.0014204545454545455,0.0023414204701433686
201,690,4,1,0.005681818181818182,0.0009729474787572112
201,693,1,1,0.0014204545454545455,0.00031976439921040307
201,697,4,1,0.005681818181818182,0.001422840922209625
201,713,8,1,0.011363636363636364,0.0
201,714,2,1,0.002840909090909091,0.00108292125732363
201,719,2,1,0.002840909090909091,0.0007877617861056686
201,724,1,1,0.0014204545454545455,0.0006120398675667973
201,729,1,1,0.0014204545454545455,0.00029691380277083656
201,732,1,1,0.0014204545454545455,0.000148141998054909
201,761,2,1,0.002840909090909091,7.133727438361117e-05
201,772,17,1,0.024147727272727272,0.0
201,774,2,1,0.002840909090909091,0.0009562674713783448
201,775,2,1,0.002840909090909091,0.00108292125732363
201,776,5,1,0.007102272727272727,7.010478711856711e-05
201,785,1,1,0.0014204545454545455,1.4020957423713421e-05
201,820,1,1,0.0014204545454545455,0.0005757414237139733
201,831,8,1,0.011363636363636364,0.0
201,836,2,1,0.002840909090909091,0.0
201,843,2,1,0.002840909090909091,0.00011620735160870181
201,858,6,1,0.008522727272727272,4.182387353475172e-05
201,869,4,1,0.005681818181818182,0.0009729474787572112
201,876,4,1,0.005681818181818182,0.00011347205074215951
201,884,1,1,0.0014204545454545455,0.00018444044190773308
201,898,1,1,0.0014204545454545455,0.001289768922566318
201,907,1,1,0.0014204545454545455,0.0001570183464597407
201,911,1,1,0.0014204545454545455,0.002769019895802433
201,915,6,1,0.008522727272727272,0.0
